source,target,score
A1CF,APOBEC1,0.998
A2M,ALB,0.98
A2M,APOA1,0.998
A2M,APOE,0.975
A2M,APP,0.905
A2M,HP,0.997
A2M,HSPA5,0.972
A2M,IL1B,0.984
A2M,IL6,0.95
A2M,KLK3,0.967
A2M,LRP1,0.998
A2M,MMP2,0.953
A2M,SERPINA1,0.98
A2M,SERPINA3,0.929
A2M,SERPINC1,0.927
A2M,TGFB1,0.91
A2M,TTR,0.905
AAAS,NDC1,0.994
AAAS,NUP107,0.98
AAAS,NUP133,0.957
AAAS,NUP153,0.94
AAAS,NUP155,0.989
AAAS,NUP160,0.951
AAAS,NUP188,0.981
AAAS,NUP205,0.986
AAAS,NUP210,0.98
AAAS,NUP214,0.992
AAAS,NUP35,0.987
AAAS,NUP37,0.955
AAAS,NUP42,0.943
AAAS,NUP43,0.98
AAAS,NUP50,0.922
AAAS,NUP54,0.968
AAAS,NUP58,0.942
AAAS,NUP62,0.944
AAAS,NUP85,0.985
AAAS,NUP88,0.994
AAAS,NUP93,0.983
AAAS,NUP98,0.96
AAAS,RAE1,0.924
AAAS,RANBP2,0.995
AAAS,SEC13,0.952
AAAS,SEH1L,0.994
AAAS,TPR,0.937
AATF,DDX56,0.958
AATF,DNTTIP2,0.997
AATF,EBNA1BP2,0.905
AATF,FBL,0.981
AATF,FTSJ3,0.906
AATF,IMP3,0.994
AATF,IMP4,0.997
AATF,MAGED1,0.938
AATF,MPHOSPH10,0.997
AATF,NCOA6,0.926
AATF,NGDN,0.999
AATF,NOL10,0.999
AATF,NOP56,0.996
AATF,NOP58,0.998
AATF,RPS11,0.988
AATF,RPS12,0.962
AATF,RPS13,0.992
AATF,RPS14,0.965
AATF,RPS15A,0.952
AATF,RPS16,0.988
AATF,RPS18,0.983
AATF,RPS19,0.901
AATF,RPS23,0.988
AATF,RPS24,0.989
AATF,RPS27,0.966
AATF,RPS28,0.988
AATF,RPS3A,0.99
AATF,RPS4X,0.951
AATF,RPS5,0.991
AATF,RPS6,0.991
AATF,RPS7,0.988
AATF,RPS8,0.99
AATF,RPS9,0.989
AATF,RSL1D1,0.986
AATF,SNU13,0.993
AATF,TBL3,0.998
AATF,UTP4,0.997
AATF,WDR43,0.998
ABAT,ALDH2,0.945
ABAT,ALDH5A1,0.994
ABCA1,APOA1,0.999
ABCA1,APOE,0.98
ABCA1,NR1H2,0.991
ABCA1,NR1H3,0.967
ABCA1,RXRA,0.916
ABCA1,SREBF1,0.905
ABCA1,SREBF2,0.94
ABCB1,CYP3A5,0.92
ABCB11,NR0B2,0.948
ABCB11,NR1H4,0.964
ABCB11,SLC10A1,0.918
ABCC8,GCK,0.949
ABCC8,INS,0.909
ABCC8,KCNJ11,0.999
ABCC8,KCNJ8,0.999
ABCC8,PRKACA,0.935
ABCC8,PRKACB,0.937
ABCC8,RAPGEF4,0.99
ABCC8,TRPM4,0.992
ABCC9,KCNJ11,0.999
ABCC9,KCNJ8,0.999
ABCD4,ABCG5,0.941
ABCD4,ABCG8,0.94
ABCD4,LMBRD1,0.99
ABCE1,ABCF2,0.921
ABCE1,EIF1,0.983
ABCE1,EIF1AX,0.941
ABCE1,EIF2S1,0.977
ABCE1,EIF2S2,0.953
ABCE1,EIF2S3,0.964
ABCE1,EIF3A,0.995
ABCE1,EIF3B,0.995
ABCE1,EIF3C,0.988
ABCE1,EIF3D,0.94
ABCE1,EIF3E,0.956
ABCE1,EIF3F,0.918
ABCE1,EIF3G,0.939
ABCE1,EIF3H,0.936
ABCE1,EIF3I,0.982
ABCE1,EIF3J,0.996
ABCE1,EIF3L,0.926
ABCE1,EIF3M,0.971
ABCE1,ETF1,0.999
ABCE1,FAU,0.993
ABCE1,HBS1L,0.959
ABCE1,LTO1,0.913
ABCE1,PELO,0.95
ABCE1,RACK1,0.988
ABCE1,RNASEL,0.994
ABCE1,RPL12,0.919
ABCE1,RPL21,0.916
ABCE1,RPL23,0.909
ABCE1,RPL4,0.968
ABCE1,RPL5,0.909
ABCE1,RPL7,0.914
ABCE1,RPL7A,0.937
ABCE1,RPL9,0.947
ABCE1,RPLP0,0.992
ABCE1,RPS10,0.958
ABCE1,RPS11,0.971
ABCE1,RPS12,0.984
ABCE1,RPS13,0.978
ABCE1,RPS14,0.968
ABCE1,RPS15,0.976
ABCE1,RPS15A,0.936
ABCE1,RPS16,0.977
ABCE1,RPS17,0.969
ABCE1,RPS18,0.97
ABCE1,RPS19,0.973
ABCE1,RPS2,0.973
ABCE1,RPS20,0.987
ABCE1,RPS21,0.965
ABCE1,RPS23,0.994
ABCE1,RPS24,0.989
ABCE1,RPS25,0.98
ABCE1,RPS26,0.972
ABCE1,RPS27,0.954
ABCE1,RPS27A,0.964
ABCE1,RPS28,0.989
ABCE1,RPS29,0.973
ABCE1,RPS3,0.99
ABCE1,RPS3A,0.983
ABCE1,RPS4X,0.949
ABCE1,RPS5,0.972
ABCE1,RPS6,0.99
ABCE1,RPS7,0.978
ABCE1,RPS8,0.975
ABCE1,RPS9,0.93
ABCE1,RPSA,0.968
ABCE1,YAE1,0.913
ABCG1,APOA1,0.997
ABCG1,APOE,0.928
ABCG1,NR1H3,0.932
ABCG5,ABCG8,0.999
ABCG5,NPC1L1,0.906
ABCG5,NR1H3,0.912
ABCG5,SREBF2,0.921
ABCG8,NR1H3,0.903
ABCG8,SREBF2,0.914
ABI1,ABI2,0.996
ABI1,ABL1,0.998
ABI1,ARF1,0.947
ABI1,BAIAP2,0.984
ABI1,BRK1,0.999
ABI1,CYFIP1,0.999
ABI1,EPS8,0.999
ABI1,NCK1,0.947
ABI1,NCKAP1,0.999
ABI1,SOS1,0.998
ABI1,SRA1,0.901
ABI1,WASF1,0.999
ABI1,WASF2,0.999
ABI1,WASF3,0.997
ABI1,WASL,0.98
ABI2,ABL1,0.981
ABI2,BAIAP2,0.97
ABI2,BRK1,0.999
ABI2,CYFIP1,0.999
ABI2,NCKAP1,0.999
ABI2,RAC1,0.966
ABI2,RAC2,0.947
ABI2,SRA1,0.9
ABI2,WASF1,0.999
ABI2,WASF2,0.999
ABI2,WASF3,0.995
ABI2,WASL,0.949
ABI3,BRK1,0.965
ABI3,CYFIP1,0.991
ABI3,NCKAP1,0.988
ABI3,WASF1,0.958
ABI3,WASF2,0.965
ABI3,WASF3,0.933
ABL1,ABL2,0.981
ABL1,ATM,0.988
ABL1,BCR,0.996
ABL1,BRCA1,0.956
ABL1,CBL,0.996
ABL1,CDK5,0.9
ABL1,CRK,0.999
ABL1,CRKL,0.998
ABL1,CTNNB1,0.949
ABL1,DOK1,0.934
ABL1,ENAH,0.963
ABL1,EPHA1,0.945
ABL1,EPHA2,0.951
ABL1,EPHA4,0.945
ABL1,EPHA8,0.94
ABL1,EPHB1,0.94
ABL1,EPHB2,0.958
ABL1,ETV6,0.932
ABL1,FN1,0.963
ABL1,FYN,0.949
ABL1,GRB2,0.999
ABL1,HSP90AA1,0.983
ABL1,HSP90AB1,0.93
ABL1,NTRK1,0.958
ABL1,NTRK2,0.91
ABL1,NTRK3,0.915
ABL1,NUP214,0.907
ABL1,PIK3C3,0.947
ABL1,PRDX1,0.927
ABL1,RAC2,0.94
ABL1,RAD51,0.915
ABL1,RB1,0.98
ABL1,RIN1,0.997
ABL1,SHC1,0.991
ABL1,SHC2,0.908
ABL1,SHC3,0.912
ABL1,STAT5A,0.98
ABL1,STAT5B,0.983
ABL1,TP53,0.909
ABL1,TP73,0.909
ABL2,CRK,0.99
ABL2,CRKL,0.962
ABL2,RAC2,0.926
ABL2,RIN1,0.984
ABRAXAS1,BABAM1,0.999
ABRAXAS1,BABAM2,0.999
ABRAXAS1,BARD1,0.999
ABRAXAS1,BRCA1,0.999
ABRAXAS1,BRCC3,0.999
ABRAXAS1,MDC1,0.923
ABRAXAS1,UIMC1,0.999
ABRAXAS2,BABAM1,0.999
ABRAXAS2,BABAM2,0.999
ABRAXAS2,BRCC3,0.999
ABRAXAS2,SHMT2,0.999
ACAD8,DBT,0.944
ACAD8,HADHA,0.961
ACD,CTC1,0.906
ACD,POT1,0.999
ACD,STN1,0.927
ACD,TERF1,0.999
ACD,TERF2,0.999
ACD,TERF2IP,0.999
ACD,TERT,0.982
ACD,TINF2,0.999
ACE,ACE2,0.956
ACE,AGT,0.999
ACE,AGTR1,0.974
ACE,AGTR2,0.948
ACE,ALB,0.912
ACE,BDKRB2,0.917
ACE,REN,0.987
ACE2,AGT,0.999
ACE2,AGTR1,0.996
ACE2,AGTR2,0.954
ACE2,BSG,0.968
ACE2,CLEC4M,0.983
ACE2,DPP4,0.999
ACE2,FURIN,0.904
ACE2,HSPA5,0.948
ACE2,IL2,0.963
ACE2,ITGB1,0.905
ACE2,MEP1A,0.961
ACE2,MEP1B,0.957
ACE2,REN,0.96
ACE2,SLC6A19,0.999
ACE2,TMPRSS2,0.999
ACHE,APP,0.937
ACHE,COLQ,0.989
ACHE,MAOB,0.91
ACIN1,ALYREF,0.92
ACIN1,EIF4A3,0.959
ACIN1,MAGOH,0.95
ACIN1,PNN,0.978
ACIN1,RNPS1,0.999
ACIN1,SAP18,0.999
ACIN1,SRRM2,0.942
ACKR3,ARRB2,0.967
ACKR3,CXCL12,0.999
ACKR3,CXCR4,0.996
ACLY,CS,0.998
ACLY,DLAT,0.988
ACLY,HADHB,0.915
ACLY,IDH1,0.935
ACLY,IDH2,0.9
ACLY,OGDH,0.915
ACLY,SDHA,0.964
ACLY,SDHB,0.953
ACLY,SDHC,0.95
ACLY,SUCLG1,0.991
ACSL1,CPT1A,0.975
ACTA1,ACTA2,0.91
ACTA1,ACTB,0.901
ACTA1,ACTG1,0.92
ACTA1,ACTG2,0.96
ACTA1,ACTN2,0.905
ACTA1,ACTR2,0.976
ACTA1,ACTR3,0.931
ACTA1,ARPC1B,0.939
ACTA1,ARPC2,0.939
ACTA1,ARPC3,0.945
ACTA1,ARPC4,0.933
ACTA1,CAP1,0.957
ACTA1,CAPZA1,0.932
ACTA1,CAPZB,0.942
ACTA1,CFL1,0.978
ACTA1,COBL,0.914
ACTA1,CTNNA1,0.912
ACTA1,EIF2S1,0.908
ACTA1,FLNA,0.948
ACTA1,GSN,0.986
ACTA1,MRTFA,0.917
ACTA1,PFN1,0.976
ACTA1,PPP1CA,0.95
ACTA1,TMOD1,0.929
ACTA1,TNNC1,0.964
ACTA1,TNNC2,0.984
ACTA1,TNNI3,0.945
ACTA1,TNNT2,0.966
ACTA1,TPM1,0.976
ACTA1,TPM2,0.939
ACTA1,TPM3,0.986
ACTA1,UTRN,0.922
ACTA1,VASP,0.998
ACTA1,VCL,0.942
ACTA1,WAS,0.961
ACTA1,WASF2,0.919
ACTA1,WASL,0.963
ACTA1,WIPF1,0.924
ACTA2,ACTG2,0.988
ACTA2,COL1A1,0.928
ACTA2,MYH10,0.959
ACTA2,MYH9,0.953
ACTA2,MYL6,0.944
ACTB,ACTG1,0.999
ACTB,ACTL6A,0.999
ACTB,ACTL6B,0.95
ACTB,ACTN1,0.985
ACTB,ACTN2,0.974
ACTB,ACTN4,0.971
ACTB,ACTR10,0.987
ACTB,ACTR1A,0.977
ACTB,ACTR2,0.968
ACTB,ACTR3,0.957
ACTB,ACTR8,0.902
ACTB,AFDN,0.958
ACTB,AKT1,0.923
ACTB,ARHGAP10,0.903
ACTB,ARID1A,0.995
ACTB,ARID1B,0.947
ACTB,ARID2,0.983
ACTB,ARPC1B,0.958
ACTB,ARPC2,0.962
ACTB,ARPC3,0.968
ACTB,ARPC4,0.961
ACTB,ARPC5,0.952
ACTB,BAIAP2,0.951
ACTB,BRD7,0.985
ACTB,BRD8,0.927
ACTB,CAPZA1,0.964
ACTB,CAPZB,0.976
ACTB,CASP3,0.989
ACTB,CASP7,0.967
ACTB,CCT2,0.905
ACTB,CDC42,0.975
ACTB,CFL1,0.999
ACTB,CTNNA1,0.957
ACTB,DCTN1,0.971
ACTB,DCTN2,0.95
ACTB,DCTN4,0.945
ACTB,DCTN5,0.922
ACTB,DCTN6,0.916
ACTB,DIAPH1,0.934
ACTB,DMAP1,0.968
ACTB,DMD,0.952
ACTB,DYNC1H1,0.938
ACTB,EEF1A1,0.95
ACTB,ENAH,0.932
ACTB,EP400,0.965
ACTB,EPC1,0.947
ACTB,ERBB2,0.932
ACTB,ESR1,0.947
ACTB,EZR,0.983
ACTB,GAPDH,0.975
ACTB,H2BC21,0.943
ACTB,H2BC4,0.903
ACTB,H3-3B,0.962
ACTB,H3C1,0.906
ACTB,H4C2,0.9
ACTB,HCLS1,0.947
ACTB,HSP90AA1,0.967
ACTB,HSP90AB1,0.911
ACTB,HSPA8,0.955
ACTB,IGF2BP1,0.968
ACTB,ILK,0.951
ACTB,ING3,0.93
ACTB,INO80C,0.901
ACTB,IQGAP1,0.985
ACTB,ITGA2B,0.937
ACTB,ITGB1,0.984
ACTB,ITGB3,0.949
ACTB,ITGB4,0.936
ACTB,ITGB5,0.931
ACTB,ITGB6,0.928
ACTB,ITGB7,0.92
ACTB,ITGB8,0.923
ACTB,KAT5,0.979
ACTB,KAT8,0.93
ACTB,MBTD1,0.926
ACTB,MEAF6,0.931
ACTB,MORF4L1,0.942
ACTB,MSL1,0.91
ACTB,MSL2,0.908
ACTB,MSL3,0.912
ACTB,MSN,0.975
ACTB,MYH10,0.957
ACTB,MYH9,0.991
ACTB,MYL12A,0.951
ACTB,MYL12B,0.962
ACTB,MYL6,0.973
ACTB,MYO1C,0.97
ACTB,PARVA,0.957
ACTB,PARVB,0.915
ACTB,PBRM1,0.984
ACTB,PFN1,0.999
ACTB,PHF10,0.98
ACTB,PIP5K1B,0.911
ACTB,PPARG,0.971
ACTB,PRKCA,0.955
ACTB,RDX,0.945
ACTB,RHOA,0.978
ACTB,RUVBL1,0.993
ACTB,RUVBL2,0.995
ACTB,SMARCA4,0.999
ACTB,SMARCB1,0.977
ACTB,SMARCC2,0.983
ACTB,SMARCD1,0.986
ACTB,SMARCD3,0.903
ACTB,SMARCE1,0.996
ACTB,SPTBN2,0.954
ACTB,SYNPO,0.951
ACTB,TBP,0.905
ACTB,THRA,0.92
ACTB,TJP1,0.985
ACTB,TLN1,0.96
ACTB,TMSB4X,0.961
ACTB,TRRAP,0.96
ACTB,TUBGCP6,0.915
ACTB,VASP,0.955
ACTB,VCL,0.984
ACTB,VPS72,0.901
ACTB,WAS,0.954
ACTB,WASF1,0.924
ACTB,WASF2,0.941
ACTB,WASF3,0.921
ACTB,WASL,0.979
ACTB,WHAMM,0.911
ACTB,YEATS4,0.942
ACTB,YWHAB,0.908
ACTB,YY1,0.916
ACTB,ZYX,0.942
ACTG1,ACTL6A,0.939
ACTG1,ACTL6B,0.914
ACTG1,ACTN1,0.972
ACTG1,ACTN4,0.97
ACTG1,ACTR2,0.949
ACTG1,ACTR3,0.936
ACTG1,AFDN,0.915
ACTG1,ARHGAP10,0.902
ACTG1,ARPC1B,0.962
ACTG1,ARPC2,0.966
ACTG1,ARPC3,0.964
ACTG1,ARPC4,0.939
ACTG1,ARPC5,0.953
ACTG1,BAIAP2,0.923
ACTG1,CASP3,0.922
ACTG1,CASP7,0.915
ACTG1,CCT3,0.94
ACTG1,CCT6A,0.934
ACTG1,CCT7,0.947
ACTG1,CCT8,0.939
ACTG1,CDC42,0.957
ACTG1,CFL1,0.998
ACTG1,CTNNA1,0.953
ACTG1,DIAPH1,0.936
ACTG1,DMD,0.966
ACTG1,ENAH,0.927
ACTG1,EZR,0.962
ACTG1,HCLS1,0.958
ACTG1,ILK,0.928
ACTG1,IQGAP1,0.943
ACTG1,ITGA2B,0.904
ACTG1,ITGB1,0.955
ACTG1,ITGB3,0.913
ACTG1,ITGB4,0.915
ACTG1,ITGB5,0.914
ACTG1,ITGB6,0.914
ACTG1,ITGB7,0.911
ACTG1,ITGB8,0.912
ACTG1,MSN,0.959
ACTG1,MYH10,0.959
ACTG1,MYH9,0.978
ACTG1,MYL12A,0.937
ACTG1,MYL12B,0.942
ACTG1,MYL6,0.956
ACTG1,MYO1A,0.926
ACTG1,PARVA,0.918
ACTG1,PARVB,0.912
ACTG1,PFN1,0.992
ACTG1,PIP5K1B,0.905
ACTG1,PPARG,0.906
ACTG1,PRKCA,0.918
ACTG1,RDX,0.925
ACTG1,RHOA,0.944
ACTG1,SMARCE1,0.915
ACTG1,SYNPO,0.92
ACTG1,TCP1,0.943
ACTG1,THRA,0.903
ACTG1,TJP1,0.913
ACTG1,TLN1,0.976
ACTG1,TMSB4X,0.977
ACTG1,VASP,0.974
ACTG1,VCL,0.99
ACTG1,WAS,0.949
ACTG1,WASF1,0.934
ACTG1,WASF2,0.953
ACTG1,WASF3,0.922
ACTG1,WASL,0.978
ACTG1,WHAMM,0.922
ACTG1,ZYX,0.931
ACTG2,CNN1,0.93
ACTG2,MYH10,0.941
ACTG2,MYH9,0.944
ACTG2,MYL6,0.94
ACTL6A,ACTL6B,0.961
ACTL6A,ACTR5,0.986
ACTL6A,ACTR8,0.995
ACTL6A,ANP32E,0.937
ACTL6A,ARID1A,0.999
ACTL6A,ARID1B,0.995
ACTL6A,ARID2,0.997
ACTL6A,BANF1,0.959
ACTL6A,BCL7A,0.994
ACTL6A,BCL7C,0.987
ACTL6A,BICRAL,0.975
ACTL6A,BRD7,0.999
ACTL6A,BRD8,0.993
ACTL6A,BRD9,0.997
ACTL6A,DMAP1,0.999
ACTL6A,DPF2,0.986
ACTL6A,EP400,0.999
ACTL6A,EPC1,0.99
ACTL6A,EPC2,0.983
ACTL6A,H2AZ1,0.938
ACTL6A,H3-3B,0.911
ACTL6A,ING3,0.993
ACTL6A,INO80,0.986
ACTL6A,INO80B,0.963
ACTL6A,INO80C,0.984
ACTL6A,INO80D,0.914
ACTL6A,INO80E,0.975
ACTL6A,KAT5,0.997
ACTL6A,KAT8,0.962
ACTL6A,MBTD1,0.935
ACTL6A,MCRS1,0.956
ACTL6A,MEAF6,0.995
ACTL6A,MORF4L1,0.995
ACTL6A,MORF4L2,0.976
ACTL6A,MRGBP,0.985
ACTL6A,MSL1,0.91
ACTL6A,MSL2,0.902
ACTL6A,MSL3,0.931
ACTL6A,NFRKB,0.952
ACTL6A,PBRM1,0.999
ACTL6A,PHF10,0.999
ACTL6A,PPARG,0.905
ACTL6A,RUVBL1,0.999
ACTL6A,RUVBL2,0.999
ACTL6A,SMARCA2,0.999
ACTL6A,SMARCA4,0.999
ACTL6A,SMARCB1,0.999
ACTL6A,SMARCC1,0.999
ACTL6A,SMARCC2,0.999
ACTL6A,SMARCD1,0.999
ACTL6A,SMARCD2,0.997
ACTL6A,SMARCD3,0.993
ACTL6A,SMARCE1,0.999
ACTL6A,SRCAP,0.959
ACTL6A,SS18,0.991
ACTL6A,TRRAP,0.999
ACTL6A,VPS72,0.975
ACTL6A,YEATS4,0.994
ACTL6A,YY1,0.977
ACTL6A,ZNHIT1,0.973
ACTL6B,ACTR8,0.9
ACTL6B,ARID1A,0.978
ACTL6B,ARID1B,0.964
ACTL6B,ARID2,0.968
ACTL6B,BANF1,0.939
ACTL6B,BCL7A,0.945
ACTL6B,BCL7C,0.925
ACTL6B,BRD7,0.96
ACTL6B,BRD9,0.933
ACTL6B,DMAP1,0.959
ACTL6B,DPF2,0.977
ACTL6B,EP400,0.937
ACTL6B,EPC1,0.91
ACTL6B,EPC2,0.905
ACTL6B,MEAF6,0.927
ACTL6B,PBRM1,0.958
ACTL6B,PHF10,0.992
ACTL6B,PPARG,0.901
ACTL6B,RUVBL1,0.907
ACTL6B,RUVBL2,0.916
ACTL6B,SMARCA2,0.982
ACTL6B,SMARCA4,0.98
ACTL6B,SMARCB1,0.989
ACTL6B,SMARCC1,0.976
ACTL6B,SMARCC2,0.991
ACTL6B,SMARCD1,0.99
ACTL6B,SMARCD2,0.951
ACTL6B,SMARCD3,0.967
ACTL6B,SMARCE1,0.982
ACTL6B,SS18,0.953
ACTL6B,SS18L1,0.928
ACTL6B,TRRAP,0.938
ACTL6B,YEATS4,0.909
ACTN1,ACTN4,0.998
ACTN1,CACNA1C,0.94
ACTN1,CFL1,0.915
ACTN1,CTNNA1,0.974
ACTN1,ITGA5,0.965
ACTN1,ITGB1,0.974
ACTN1,LMO7,0.914
ACTN1,MAGI1,0.917
ACTN1,MICALL2,0.953
ACTN1,PARVB,0.955
ACTN1,PDLIM1,0.972
ACTN1,PIKFYVE,0.9
ACTN1,PIP5K1B,0.907
ACTN1,TTN,0.906
ACTN1,VCL,0.999
ACTN1,ZYX,0.989
ACTN2,CAMK2A,0.961
ACTN2,GRIN2B,0.943
ACTN2,LDB3,0.973
ACTN2,MYOZ2,0.987
ACTN2,PDLIM1,0.94
ACTN2,TCAP,0.969
ACTN2,TNNT2,0.913
ACTN2,TPM1,0.904
ACTN2,TTN,0.999
ACTN4,CD2AP,0.94
ACTN4,CTNNA1,0.94
ACTN4,ITGA5,0.922
ACTN4,ITGB1,0.96
ACTN4,LMO7,0.957
ACTN4,MAGI1,0.993
ACTN4,MICALL2,0.969
ACTN4,MYH9,0.926
ACTN4,NPHS1,0.993
ACTN4,NPHS2,0.971
ACTN4,PDLIM1,0.97
ACTN4,PIKFYVE,0.903
ACTN4,PIP5K1B,0.904
ACTN4,SYNPO,0.981
ACTN4,TJP1,0.91
ACTN4,TRIM3,0.953
ACTN4,TRPC6,0.905
ACTN4,VCL,0.999
ACTN4,ZYX,0.978
ACTR10,ACTR1A,0.999
ACTR10,ACTR1B,0.995
ACTR10,CAPZA1,0.99
ACTR10,CAPZA2,0.98
ACTR10,CAPZB,0.975
ACTR10,DCTN1,0.999
ACTR10,DCTN2,0.999
ACTR10,DCTN3,0.996
ACTR10,DCTN4,0.999
ACTR10,DCTN5,0.999
ACTR10,DCTN6,0.999
ACTR10,DYNC1H1,0.95
ACTR10,DYNC1I2,0.97
ACTR1A,ACTR1B,0.992
ACTR1A,CAPZA1,0.992
ACTR1A,CAPZA2,0.969
ACTR1A,CAPZB,0.99
ACTR1A,DCTN1,0.999
ACTR1A,DCTN2,0.999
ACTR1A,DCTN3,0.998
ACTR1A,DCTN4,0.999
ACTR1A,DCTN5,0.999
ACTR1A,DCTN6,0.999
ACTR1A,DYNC1H1,0.995
ACTR1A,DYNC1I2,0.982
ACTR1B,CAPZB,0.903
ACTR1B,DCTN1,0.997
ACTR1B,DCTN2,0.998
ACTR1B,DCTN3,0.992
ACTR1B,DCTN4,0.998
ACTR1B,DCTN5,0.993
ACTR1B,DCTN6,0.993
ACTR2,ACTR3,0.999
ACTR2,ARPC1B,0.999
ACTR2,ARPC2,0.999
ACTR2,ARPC3,0.999
ACTR2,ARPC4,0.999
ACTR2,ARPC5,0.999
ACTR2,CDC42,0.95
ACTR2,CFL1,0.963
ACTR2,CTTN,0.973
ACTR2,HCLS1,0.99
ACTR2,PFN1,0.92
ACTR2,WAS,0.999
ACTR2,WASF2,0.988
ACTR2,WASL,0.999
ACTR2,WHAMM,0.943
ACTR2,WIPF1,0.92
ACTR3,ARPC1B,0.999
ACTR3,ARPC2,0.999
ACTR3,ARPC3,0.999
ACTR3,ARPC4,0.999
ACTR3,ARPC5,0.999
ACTR3,CTTN,0.925
ACTR3,HCLS1,0.975
ACTR3,WAS,0.996
ACTR3,WASF2,0.953
ACTR3,WASL,0.999
ACTR3,WHAMM,0.916
ACTR5,ACTR8,0.998
ACTR5,ANP32E,0.902
ACTR5,BRD8,0.901
ACTR5,EP400,0.943
ACTR5,ING3,0.904
ACTR5,INO80,0.999
ACTR5,INO80B,0.998
ACTR5,INO80C,0.999
ACTR5,INO80D,0.932
ACTR5,INO80E,0.999
ACTR5,KAT5,0.907
ACTR5,MCRS1,0.974
ACTR5,NFRKB,0.999
ACTR5,RUVBL1,0.999
ACTR5,RUVBL2,0.999
ACTR5,TRRAP,0.913
ACTR5,YY1,0.984
ACTR6,DMAP1,0.962
ACTR6,EP400,0.93
ACTR6,H2AZ1,0.956
ACTR6,RUVBL1,0.999
ACTR6,RUVBL2,0.998
ACTR6,SRCAP,0.999
ACTR6,ZNHIT1,0.998
ACTR8,ANP32E,0.9
ACTR8,BRD8,0.905
ACTR8,EP400,0.95
ACTR8,ING3,0.914
ACTR8,INO80,0.992
ACTR8,INO80B,0.986
ACTR8,INO80C,0.997
ACTR8,INO80D,0.941
ACTR8,INO80E,0.99
ACTR8,KAT5,0.926
ACTR8,MCRS1,0.975
ACTR8,NFRKB,0.991
ACTR8,RUVBL1,0.998
ACTR8,RUVBL2,0.997
ACTR8,TRRAP,0.924
ACTR8,YY1,0.986
ACVR1,ACVR1B,0.979
ACVR1,ACVR1C,0.908
ACVR1,ACVR2A,0.999
ACVR1,ACVR2B,0.993
ACVR1,AMH,0.964
ACVR1,AMHR2,0.942
ACVR1,BMP2,0.992
ACVR1,BMP4,0.998
ACVR1,BMP6,0.999
ACVR1,BMP7,0.999
ACVR1,BMPR1A,0.999
ACVR1,BMPR2,0.999
ACVR1,CUL1,0.964
ACVR1,FKBP1A,0.998
ACVR1,FKBP1B,0.966
ACVR1,GDF2,0.99
ACVR1,HJV,0.958
ACVR1,SMAD1,0.978
ACVR1,SMAD2,0.97
ACVR1,SMAD3,0.961
ACVR1,SMAD9,0.99
ACVR1,TGFBR1,0.96
ACVR1B,ACVR1C,0.967
ACVR1B,ACVR2A,0.998
ACVR1B,ACVR2B,0.999
ACVR1B,ALK,0.932
ACVR1B,GDF11,0.932
ACVR1B,MSTN,0.995
ACVR1B,SMAD2,0.972
ACVR1B,SMAD3,0.936
ACVR1B,SMAD4,0.957
ACVR1B,SMAD7,0.902
ACVR1B,TGFBR1,0.988
ACVR1C,ACVR2A,0.996
ACVR1C,ACVR2B,0.997
ACVR1C,GDF11,0.906
ACVR1C,SMAD2,0.982
ACVR1C,SMAD3,0.963
ACVR1C,TGFBR1,0.955
ACVR2A,ACVR2B,0.998
ACVR2A,BMP2,0.999
ACVR2A,BMP4,0.997
ACVR2A,BMP6,0.999
ACVR2A,BMP7,0.999
ACVR2A,BMPR1A,0.998
ACVR2A,BMPR2,0.994
ACVR2A,GDF11,0.999
ACVR2A,GDF2,0.998
ACVR2A,GDF5,0.986
ACVR2A,MSTN,0.997
ACVR2A,SMAD2,0.977
ACVR2A,SMAD3,0.979
ACVR2A,TGFBR1,0.988
ACVR2B,BMP2,0.999
ACVR2B,BMP4,0.993
ACVR2B,BMP6,0.997
ACVR2B,BMP7,0.998
ACVR2B,BMPR1A,0.995
ACVR2B,BMPR2,0.951
ACVR2B,GDF11,0.999
ACVR2B,GDF2,0.997
ACVR2B,GDF5,0.985
ACVR2B,MSTN,0.999
ACVR2B,SMAD2,0.983
ACVR2B,SMAD3,0.968
ACVR2B,TGFBR1,0.999
ADA,ADAR,0.952
ADA,ADORA2A,0.907
ADA,DPP4,0.999
ADA,PNP,0.998
ADAM17,FURIN,0.939
ADAM17,HBEGF,0.967
ADAM17,NOTCH1,0.953
ADAM17,NOTCH2,0.942
ADAM17,NOTCH3,0.94
ADAM17,NOTCH4,0.938
ADAM17,TGFA,0.923
ADAM17,TIMP3,0.996
ADAM17,TMPRSS2,0.936
ADAM17,TNF,0.95
ADAM22,ADAM23,0.944
ADAM22,CACNG2,0.937
ADAM22,DLG2,0.912
ADAM22,DLG4,0.997
ADAM22,LGI1,0.999
ADAM23,LGI1,0.997
ADAM9,MAD2L2,0.943
ADAR,AXIN1,0.993
ADAR,DHX9,0.922
ADAR,DICER1,0.993
ADAR,RBMX,0.926
ADAR,UPF1,0.983
ADCY2,CNR1,0.909
ADCY2,ENTPD2,0.905
ADCY2,GNAS,0.978
ADCY2,PRKCD,0.91
ADCY2,RAPGEF4,0.928
ADCY3,ADCY6,0.919
ADCY3,ADCY8,0.914
ADCY3,CALM3,0.945
ADCY3,CAMK2A,0.929
ADCY3,CAMK2B,0.922
ADCY3,CNR1,0.906
