dataset,n_nodes,n_edges,grid_index,grid_total,sim_metric,theta_sim,theta_overlap,runtime_sec,error,shen_modularity,modularity_overlap,modularity,internal_edge_density,conductance,normalized_cut,avg_transitivity,n_communities,max_community_size,coverage_ratio,uncovered_node_ratio,overlap_node_ratio,avg_memberships_per_covered_node,overlap_intensity
yeast,1613,41533,211,294,aa,0.4,0.1,6.434028387069702,,0.49977658653690066,0.49977658653690066,0.49881294136464055,0.5100944289675392,0.1458712096702949,0.1564864267258039,0.8107683623910746,10,710,1.0,0.0,0.0030998140111593306,1.0030998140111593,2.0
yeast,1613,41533,212,294,aa,0.4,0.2,6.377377033233643,,0.49977658653690066,0.49977658653690066,0.49881294136464055,0.5100944289675392,0.1458712096702949,0.1564864267258039,0.8107683623910746,10,710,1.0,0.0,0.0030998140111593306,1.0030998140111593,2.0
yeast,1613,41533,213,294,aa,0.4,0.3,6.3934855461120605,,0.49977658653690066,0.49977658653690066,0.49881294136464055,0.5100944289675392,0.1458712096702949,0.1564864267258039,0.8107683623910746,10,710,1.0,0.0,0.0030998140111593306,1.0030998140111593,2.0
yeast,1613,41533,214,294,aa,0.4,0.4,6.670224666595459,,0.49977658653690066,0.49977658653690066,0.49881294136464055,0.5100944289675392,0.1458712096702949,0.1564864267258039,0.8107683623910746,10,710,1.0,0.0,0.0030998140111593306,1.0030998140111593,2.0
yeast,1613,41533,215,294,aa,0.4,0.5,7.608220338821411,,0.49977658653690066,0.49977658653690066,0.49881294136464055,0.5100944289675392,0.1458712096702949,0.1564864267258039,0.8107683623910746,10,710,1.0,0.0,0.0030998140111593306,1.0030998140111593,2.0
yeast,1613,41533,216,294,aa,0.4,0.6,7.7022411823272705,,0.49977658653690066,0.49977658653690066,0.49881294136464055,0.5100944289675392,0.1458712096702949,0.1564864267258039,0.8107683623910746,10,710,1.0,0.0,0.0030998140111593306,1.0030998140111593,2.0
yeast,1613,41533,217,294,aa,0.4,0.7,7.59480094909668,,0.49977658653690066,0.49977658653690066,0.49881294136464055,0.5100944289675392,0.1458712096702949,0.1564864267258039,0.8107683623910746,10,710,1.0,0.0,0.0030998140111593306,1.0030998140111593,2.0
yeast,1613,41533,113,294,dice,0.4,0.1,6.449395418167114,,0.4992155192533075,0.4992155192533075,0.49881294136464055,0.5096017078029256,0.14790342981620527,0.1586653883640564,0.8107288729735849,10,710,1.0,0.0,0.0030998140111593306,1.0030998140111593,2.0
yeast,1613,41533,114,294,dice,0.4,0.2,6.45553994178772,,0.4992155192533075,0.4992155192533075,0.49881294136464055,0.5096017078029256,0.14790342981620527,0.1586653883640564,0.8107288729735849,10,710,1.0,0.0,0.0030998140111593306,1.0030998140111593,2.0
yeast,1613,41533,115,294,dice,0.4,0.3,6.428504228591919,,0.4992155192533075,0.4992155192533075,0.49881294136464055,0.5096017078029256,0.14790342981620527,0.1586653883640564,0.8107288729735849,10,710,1.0,0.0,0.0030998140111593306,1.0030998140111593,2.0
yeast,1613,41533,116,294,dice,0.4,0.4,6.385346174240112,,0.4992155192533075,0.4992155192533075,0.49881294136464055,0.5096017078029256,0.14790342981620527,0.1586653883640564,0.8107288729735849,10,710,1.0,0.0,0.0030998140111593306,1.0030998140111593,2.0
yeast,1613,41533,117,294,dice,0.4,0.5,6.415732145309448,,0.4992155192533075,0.4992155192533075,0.49881294136464055,0.5096017078029256,0.14790342981620527,0.1586653883640564,0.8107288729735849,10,710,1.0,0.0,0.0030998140111593306,1.0030998140111593,2.0
yeast,1613,41533,118,294,dice,0.4,0.6,6.460890293121338,,0.4992155192533075,0.4992155192533075,0.49881294136464055,0.5096017078029256,0.14790342981620527,0.1586653883640564,0.8107288729735849,10,710,1.0,0.0,0.0030998140111593306,1.0030998140111593,2.0
yeast,1613,41533,119,294,dice,0.4,0.7,6.422577857971191,,0.4992155192533075,0.4992155192533075,0.49881294136464055,0.5096017078029256,0.14790342981620527,0.1586653883640564,0.8107288729735849,10,710,1.0,0.0,0.0030998140111593306,1.0030998140111593,2.0
yeast,1613,41533,22,294,cosine,0.5,0.1,6.323675155639648,,0.4988129413646607,0.4988129413646607,0.49881294136464055,0.5099435257712267,0.14104740620270398,0.15122565042596706,0.8113398527402479,10,710,1.0,0.0,0.0,1.0,
yeast,1613,41533,23,294,cosine,0.5,0.2,6.362701654434204,,0.4988129413646607,0.4988129413646607,0.49881294136464055,0.5099435257712267,0.14104740620270398,0.15122565042596706,0.8113398527402479,10,710,1.0,0.0,0.0,1.0,
yeast,1613,41533,24,294,cosine,0.5,0.3,6.33939003944397,,0.4988129413646607,0.4988129413646607,0.49881294136464055,0.5099435257712267,0.14104740620270398,0.15122565042596706,0.8113398527402479,10,710,1.0,0.0,0.0,1.0,
yeast,1613,41533,25,294,cosine,0.5,0.4,6.374380826950073,,0.4988129413646607,0.4988129413646607,0.49881294136464055,0.5099435257712267,0.14104740620270398,0.15122565042596706,0.8113398527402479,10,710,1.0,0.0,0.0,1.0,
yeast,1613,41533,26,294,cosine,0.5,0.5,6.400965929031372,,0.4988129413646607,0.4988129413646607,0.49881294136464055,0.5099435257712267,0.14104740620270398,0.15122565042596706,0.8113398527402479,10,710,1.0,0.0,0.0,1.0,
yeast,1613,41533,27,294,cosine,0.5,0.6,7.305920124053955,,0.4988129413646607,0.4988129413646607,0.49881294136464055,0.5099435257712267,0.14104740620270398,0.15122565042596706,0.8113398527402479,10,710,1.0,0.0,0.0,1.0,
