dataset,n_nodes,n_edges,grid_index,grid_total,sim_metric,theta_sim,theta_overlap,runtime_sec,error,shen_modularity,modularity_overlap,modularity,internal_edge_density,conductance,normalized_cut,avg_transitivity,n_communities,max_community_size,coverage_ratio,uncovered_node_ratio,overlap_node_ratio,avg_memberships_per_covered_node,overlap_intensity
yeast,1627,69357,218,294,aa,0.5,0.1,14.272982835769653,,0.4188134194660138,0.4188134194660138,0.41870408816581306,0.581187786736078,0.26049645294466245,0.29057970612917866,0.8140905152921657,7,921,1.0,0.0,0.001229256299938537,1.0012292562999385,2.0
yeast,1627,69357,219,294,aa,0.5,0.2,13.412242889404297,,0.4188134194660138,0.4188134194660138,0.41870408816581306,0.581187786736078,0.26049645294466245,0.29057970612917866,0.8140905152921657,7,921,1.0,0.0,0.001229256299938537,1.0012292562999385,2.0
yeast,1627,69357,220,294,aa,0.5,0.3,11.856433153152466,,0.4188134194660138,0.4188134194660138,0.41870408816581306,0.581187786736078,0.26049645294466245,0.29057970612917866,0.8140905152921657,7,921,1.0,0.0,0.001229256299938537,1.0012292562999385,2.0
yeast,1627,69357,221,294,aa,0.5,0.4,11.850669860839844,,0.4188134194660138,0.4188134194660138,0.41870408816581306,0.581187786736078,0.26049645294466245,0.29057970612917866,0.8140905152921657,7,921,1.0,0.0,0.001229256299938537,1.0012292562999385,2.0
yeast,1627,69357,222,294,aa,0.5,0.5,11.88407301902771,,0.4188134194660138,0.4188134194660138,0.41870408816581306,0.581187786736078,0.26049645294466245,0.29057970612917866,0.8140905152921657,7,921,1.0,0.0,0.001229256299938537,1.0012292562999385,2.0
yeast,1627,69357,223,294,aa,0.5,0.6,11.822707176208496,,0.4188134194660138,0.4188134194660138,0.41870408816581306,0.581187786736078,0.26049645294466245,0.29057970612917866,0.8140905152921657,7,921,1.0,0.0,0.001229256299938537,1.0012292562999385,2.0
yeast,1627,69357,224,294,aa,0.5,0.7,11.914768695831299,,0.4188134194660138,0.4188134194660138,0.41870408816581306,0.581187786736078,0.26049645294466245,0.29057970612917866,0.8140905152921657,7,921,1.0,0.0,0.001229256299938537,1.0012292562999385,2.0
yeast,1627,69357,29,294,cosine,0.6,0.1,14.173275470733643,,0.41870408816605337,0.41870408816605337,0.41870408816581306,0.5710978766461678,0.2678411289566808,0.29791873494662663,0.8038026905647857,7,921,1.0,0.0,0.0,1.0,
yeast,1627,69357,30,294,cosine,0.6,0.2,14.088589429855347,,0.41870408816605337,0.41870408816605337,0.41870408816581306,0.5710978766461678,0.2678411289566808,0.29791873494662663,0.8038026905647857,7,921,1.0,0.0,0.0,1.0,
yeast,1627,69357,31,294,cosine,0.6,0.3,14.090001344680786,,0.41870408816605337,0.41870408816605337,0.41870408816581306,0.5710978766461678,0.2678411289566808,0.29791873494662663,0.8038026905647857,7,921,1.0,0.0,0.0,1.0,
yeast,1627,69357,32,294,cosine,0.6,0.4,14.074881553649902,,0.41870408816605337,0.41870408816605337,0.41870408816581306,0.5710978766461678,0.2678411289566808,0.29791873494662663,0.8038026905647857,7,921,1.0,0.0,0.0,1.0,
